latitude,longitude,stations,entries and exits,lateral_vibration
52.17617671,0.130944855,0,0,0.100
52.17597286,0.130971848,0,0,0.138
52.17576902,0.130998841,0,0,0.143
52.17556517,0.131025834,0,0,0.120
52.17536132,0.131052827,0,0,0.153
52.17515748,0.13107982,0,0,0.182
52.17495363,0.131106813,0,0,0.256
52.17474978,0.131133806,0,0,0.171
52.17454594,0.131160799,0,0,0.176
52.17434209,0.131187792,0,0,0.160
52.17413806,0.131213395,0,0,0.100
52.17393402,0.131238902,0,0,0.163
52.17372999,0.13126441,0,0,0.168
52.17352595,0.131289917,0,0,0.288
52.17332191,0.131315424,0,0,0.156
52.17311787,0.131340931,0,0,0.181
52.17291383,0.131366438,0,0,0.165
52.17270979,0.131391945,0,0,0.109
52.17250576,0.131417452,0,0,0.225
52.17230172,0.131442959,0,0,0.206
52.17209768,0.131468467,0,0,0.208
52.17189364,0.131493974,0,0,0.123
52.1716896,0.131519481,0,0,0.240
52.17148557,0.131544988,0,0,0.100
52.17128153,0.131570495,0,0,0.200
52.17107749,0.131596002,0,0,0.280
52.17087345,0.131621509,0,0,0.122
52.17066941,0.131647017,0,0,0.143
52.17046537,0.131672524,0,0,0.177
52.17026134,0.131698031,0,0,0.147
52.1700573,0.131723538,0,0,0.100
52.16985326,0.131749045,0,0,0.177
52.16964922,0.131774552,0,0,0.121
52.16944518,0.131800059,0,0,0.198
52.16924114,0.131825566,0,0,0.129
52.16903711,0.131851074,0,0,0.253
52.16883307,0.131876581,0,0,0.136
52.16862921,0.131903517,0,0,0.160
52.16842537,0.131930524,0,0,0.217
52.16822152,0.131957531,0,0,0.115
52.16801768,0.131984538,0,0,0.188
52.16781383,0.132011545,0,0,0.243
52.16760999,0.132038553,0,0,0.100
52.16740614,0.13206556,0,0,0.187
52.1672023,0.132092567,0,0,0.192
52.16699845,0.132119574,0,0,0.218
52.16679461,0.132146581,0,0,0.118
52.16659076,0.132173588,0,0,0.114
52.16638692,0.132200595,0,0,0.206
52.16618307,0.132227602,0,0,0.195
52.16597923,0.13225461,0,0,0.193
52.16577538,0.132281617,0,0,0.199
52.16557154,0.132308624,0,0,0.148
52.16536769,0.132335631,0,0,0.194
52.16516385,0.132362638,0,0,0.197
52.16496,0.132389645,0,0,0.147
52.16475616,0.132416652,0,0,0.276
52.16455231,0.132443659,0,0,0.207
52.16434847,0.132470666,0,0,0.124
52.16416795,0.132493271,0,0,0.217
52.16436762,0.132444137,0,0,0.136
52.16456729,0.132395003,0,0,0.224
52.16455004,0.132400932,0,0,0.243
52.16435111,0.132452979,0,0,0.144
52.16415218,0.132505027,0,0,0.234
52.16395325,0.132557075,0,0,0.207
52.16375432,0.132609122,0,0,0.228
52.16355539,0.13266117,0,0,0.282
52.16335646,0.132713218,0,0,0.175
52.16315753,0.132765265,0,0,0.150
52.1629586,0.132817313,0,0,0.143
52.16275967,0.13286936,0,0,0.147
52.16256074,0.132921408,0,0,0.184
52.16236181,0.132973456,0,0,0.206
52.16216288,0.133025503,0,0,0.203
52.16196395,0.133077551,0,0,0.230
52.16176502,0.133129598,0,0,0.190
52.16156609,0.133181646,0,0,0.262
52.16136716,0.133233694,0,0,0.177
52.16116823,0.133285741,0,0,0.326
52.1609693,0.133337789,0,0,0.222
52.16077247,0.133396238,0,0,0.148
52.16058152,0.133472512,0,0,0.137
52.16039056,0.133548786,0,0,0.215
52.1601996,0.13362506,0,0,0.180
52.16000865,0.133701334,0,0,0.227
52.15981769,0.133777608,0,0,0.216
52.15962673,0.133853882,0,0,0.189
52.15943578,0.133930155,0,0,0.150
52.15924699,0.134011605,0,0,0.117
52.15905884,0.134094555,0,0,0.171
52.15887069,0.134177504,0,0,0.236
52.15868253,0.134260454,0,0,0.204
52.15849438,0.134343404,0,0,0.131
52.15830623,0.134426353,0,0,0.203
